activity_type,activity_name,source_programme,source,historical_sessions
Youth Club,Girls Attendance (Apr - Jun 25),Girls Youth Club,Monday attendance board,YES
Youth Club,Girls Attendance (Apr - Jun 26),Girls Youth Club,Monday attendance board,YES
Youth Club,Girls Attendance (Jan-Mar 25),Girls Youth Club,Monday attendance board,YES
Youth Club,Girls Attendance (Jan - Mar 26),Girls Youth Club,Monday attendance board,YES
Youth Club,Girls Attendance (Jul - Sep 25),Girls Youth Club,Monday attendance board,YES
Youth Club,Girls Attendance (Jul - Sep 26),Girls Youth Club,Monday attendance board,YES
Youth Club,Girls Attendance (Oct - Dec 25),Girls Youth Club,Monday attendance board,YES
Cricket,Girls Cricket Attendance (Apr - Jun 26),Girls Cricket,Monday attendance board,YES
FootBall,Girls Football Attendance (Apr - Jun 26),Girls Football,Monday attendance board,YES
FootBall,Girls Football Attendance (Jan - Mar 26),Girls Football,Monday attendance board,YES
FootBall,Girls Football Attendance (Jul - Sep 26),Girls Football,Monday attendance board,YES
FootBall,Girls Football Attendance (July - Sep),Girls Football,Monday attendance board,YES
FootBall,Girls Football Attendance (Jun),Girls Football,Monday attendance board,YES
FootBall,Girls Football Attendance (Oct - Dec 25),Girls Football,Monday attendance board,YES
HAF,HAF Spring March/April (2026),HAF,Monday attendance board,YES
HAF,HAF Summer (2025),HAF,Monday attendance board,YES
HAF,HAF Summer (2026),HAF,Monday attendance board,YES
HAF,HAF Winter Dec (2025),HAF,Monday attendance board,YES
FootBall,OCF Football Tuesdays (April - June 2026),Boys Football,Monday attendance board,YES
FootBall,OCF Football Tuesdays (Dec 2025),Boys Football,Monday attendance board,YES
FootBall,OCF Football Tuesdays (Jan - Apr 2025),Boys Football,Monday attendance board,YES
FootBall,OCF Football Tuesdays (Jan - March 2026),Boys Football,Monday attendance board,YES
FootBall,OCF Football Tuesdays (May - Aug 2025),Boys Football,Monday attendance board,YES
FootBall,OCF Football Tuesdays (Nov - Dec 2024),Boys Football,Monday attendance board,YES
FootBall,OCF Football Tuesdays (Sep - Nov 2025),Boys Football,Monday attendance board,YES
Youth Club,OCF Youth Club Mondays,Youth Club (Mixed),Monday attendance board,YES
Youth Club,OCF Youth Club Thursdays (Nov - Dec 25),Youth Club (Mixed),Monday attendance board,YES
Youth Club,OCF Youth Club Wednesdays (Jun - Aug 25),Youth Club (Mixed),Monday attendance board,YES
Youth Club,OCF Youth Club Wednesdays (Sep - Dec 25),Youth Club (Mixed),Monday attendance board,YES
XLR8,XLR8 Workshops (May - Aug 2025),XLR8,Monday attendance board,YES
Cricket,Boys Cricket,Boys Cricket,Activity-only requirement; no historical attendance source,NO
