file,sheet,source_programme,activity_type,activity_name,inferred_year,participant_rows,matched_rows,unmatched_or_review_rows,ambiguous_rows,date_columns,delivered_session_candidates,cancelled_session_candidates,empty_unconfirmed_date_columns,yes_attendance_marks,no_attendance_marks,warning
Girls_Attendance_Apr_Jun_25_Girls_Youth_Club_Apr_Jun_25_Attendance_1789330824.xlsx,girls attendance (apr - jun 25),Girls Youth Club,Youth Club,Girls Attendance (Apr - Jun 25),2025,27,25,2,0,18,18,0,0,195,99,
Girls_Attendance_Apr_Jun_26_Girls_Youth_Club_Apr_Jun_26_Attendance_1789330854.xlsx,girls attendance (apr - jun 26),Girls Youth Club,Youth Club,Girls Attendance (Apr - Jun 26),2026,19,19,0,0,21,19,0,2,123,0,
Girls_Attendance_Jan_Mar_25_Girls_Youth_Club_Jan_Mar_25_Attendance_1789330812.xlsx,girls attendance (jan-mar 25),Girls Youth Club,Youth Club,Girls Attendance (Jan-Mar 25),2025,21,19,2,0,14,14,0,0,131,126,
Girls_Attendance_Jan_Mar_26_Girls_Youth_Club_Jan_Mar_26_Attendance_1789330846.xlsx,girls attendance (jan - mar 26),Girls Youth Club,Youth Club,Girls Attendance (Jan - Mar 26),2026,16,16,0,0,13,11,1,1,69,0,
Girls_Attendance_Jul_Sep_25_Girls_Youth_Club_Jul_Sep_25_Attendance_1789330830.xlsx,girls attendance (jul - sep 25),Girls Youth Club,Youth Club,Girls Attendance (Jul - Sep 25),2025,20,18,2,0,13,13,0,0,123,0,
Girls_Attendance_Jul_Sep_26_Girls_Youth_Club_Jul_Sep_26_Attendance_1789330862.xlsx,girls attendance (jul - sep 26),Girls Youth Club,Youth Club,Girls Attendance (Jul - Sep 26),2026,20,20,0,0,8,5,0,3,23,0,
Girls_Attendance_Oct_Dec_25_Girls_Youth_Club_Oct_Dec_25_Attendance_1789330838.xlsx,girls attendance (oct - dec 25),Girls Youth Club,Youth Club,Girls Attendance (Oct - Dec 25),2025,21,19,2,0,22,20,1,1,176,0,
Girls_Cricket_Attendance_Apr_Jun_26_Girls_Youth_Club_Apr_Jun_26_Attendance_1789330107.xlsx,girls cricket attendance (apr -,Girls Cricket,Cricket,Girls Cricket Attendance (Apr - Jun 26),2026,19,13,6,0,12,10,0,2,50,0,Girls Cricket file contains copied Girls Youth Club subtitle; classified as Girls Cricket from board/file title.
Girls_Football_Attendance_Apr_Jun_26_Girls_Football_Wednesdays_Apr_Jun_26_1789330789.xlsx,girls football attendance (apr,Girls Football,FootBall,Girls Football Attendance (Apr - Jun 26),2026,42,38,4,0,10,10,0,0,149,0,
Girls_Football_Attendance_Jan_Mar_26_Girls_Football_Tuesdays_Jan_Mar_26_1789330781.xlsx,girls football attendance (jan,Girls Football,FootBall,Girls Football Attendance (Jan - Mar 26),2026,24,22,2,0,6,5,1,0,81,0,
Girls_Football_Attendance_Jul_Sep_26_Girls_Football_Wednesdays_Jul_Sep_26_1789330797.xlsx,girls football attendance (jul,Girls Football,FootBall,Girls Football Attendance (Jul - Sep 26),2026,50,44,6,0,5,5,0,0,59,0,
Girls_Football_Attendance_July_Sep_Girls_Football_Wednesdays_Tuesdays_July_Sep_25_1789330765.xlsx,girls football attendance (july,Girls Football,FootBall,Girls Football Attendance (July - Sep),2025,37,33,4,0,14,14,0,0,241,0,
Girls_Football_Attendance_Jun_Girls_Football_Wednesdays_June_2025_1789330758.xlsx,girls football attendance (jun),Girls Football,FootBall,Girls Football Attendance (Jun),2025,21,19,2,0,3,3,0,0,46,0,
Girls_Football_Attendance_Oct_Dec_25_Girls_Football_Tuesdays_Oct_Dec_25_1789330773.xlsx,girls football attendance (oct,Girls Football,FootBall,Girls Football Attendance (Oct - Dec 25),2025,48,41,7,0,11,10,1,0,160,0,
HAF_Spring_March_April_2026_March_April_2026_1789330980.xlsx,haf spring march april (2026),HAF,HAF,HAF Spring March/April (2026),2026,49,49,0,0,4,4,0,0,107,0,
HAF_Summer_2025_July_August_2025_1789330965.xlsx,haf summer (2025),HAF,HAF,HAF Summer (2025),2025,80,80,0,0,15,15,0,0,582,0,
HAF_Summer_2026_July_August_2026_1789330987.xlsx,haf summer (2026),HAF,HAF,HAF Summer (2026),2026,89,88,0,1,14,14,0,0,454,0,
HAF_Winter_Dec_2025_December_2025_29th_31st_1789330972.xlsx,haf winter dec (2025),HAF,HAF,HAF Winter Dec (2025),2025,51,51,0,0,3,3,0,0,98,0,
OCF_Football_Tuesdays_April_June_2026_OCF_Football_Tuesdays_April_June_2026_1789330952.xlsx,ocf football tuesdays (april -,Boys Football,FootBall,OCF Football Tuesdays (April - June 2026),2026,74,72,2,0,17,17,0,0,677,0,
OCF_Football_Tuesdays_Dec_2025_OCF_Football_Tuesdays_Dec_25_1789330938.xlsx,ocf football tuesdays (dec 2025,Boys Football,FootBall,OCF Football Tuesdays (Dec 2025),2025,73,71,2,0,4,4,0,0,165,0,
OCF_Football_Tuesdays_Jan_Apr_2025_OCF_Football_Tuesdays_Jan_Apr_25_1789330916.xlsx,ocf football tuesdays (jan - ap,Boys Football,FootBall,OCF Football Tuesdays (Jan - Apr 2025),2025,75,73,2,0,11,11,0,0,519,0,
OCF_Football_Tuesdays_Jan_March_2026_OCF_Football_Tuesdays_Jan_March_2026_1789330945.xlsx,ocf football tuesdays (jan - ma,Boys Football,FootBall,OCF Football Tuesdays (Jan - March 2026),2026,74,72,2,0,8,8,0,0,359,0,
OCF_Football_Tuesdays_May_Aug_2025_OCF_Football_Tuesdays_May_Aug_25_1789330923.xlsx,ocf football tuesdays (may - au,Boys Football,FootBall,OCF Football Tuesdays (May - Aug 2025),2025,74,72,2,0,17,17,0,0,811,0,
OCF_Football_Tuesdays_Nov_Dec_2024_OCF_Football_Tuesdays_Nov_Dec_2024_1789330908.xlsx,ocf football tuesdays (nov - de,Boys Football,FootBall,OCF Football Tuesdays (Nov - Dec 2024),2024,75,73,2,0,9,9,0,0,378,0,
OCF_Football_Tuesdays_Sep_Nov_2025_OCF_Football_Tuesdays_Sep_Nov_25_1789330931.xlsx,ocf football tuesdays (sep - no,Boys Football,FootBall,OCF Football Tuesdays (Sep - Nov 2025),2025,73,71,2,0,13,13,0,0,474,19,
OCF_Youth_Club_Mondays_OCF_Youth_Club_Mondays_Jun_Aug_25_1789330997.xlsx,ocf youth club mondays,Youth Club (Mixed),Youth Club,OCF Youth Club Mondays,2025,87,85,2,0,13,8,0,5,59,0,
OCF_Youth_Club_Thursdays_Nov_Dec_25_OCF_Youth_Club_Thursdays_Nov_Dec_25_1789331010.xlsx,ocf youth club thursdays (nov -,Youth Club (Mixed),Youth Club,OCF Youth Club Thursdays (Nov - Dec 25),2025,75,73,2,0,9,0,0,9,0,0,
OCF_Youth_Club_Wednesdays_Jun_Aug_25_OCF_Youth_Club_Wednesdays_Jun_Aug_25_1789331017.xlsx,ocf youth club wednesdays (jun,Youth Club (Mixed),Youth Club,OCF Youth Club Wednesdays (Jun - Aug 25),2025,75,73,2,0,9,0,0,9,0,0,
