action,session_date,activity,source_start_time,source_ref,reason_and_crm_candidates
REVIEW_SESSION_AMBIGUOUS,2022-11-16,Chair Based,12:30,Column 6,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15027 start=10:30 end=11:30 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2022-11-23,Chair Based,12:30,Column 8,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15028 start=10:30 end=11:30 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2022-11-30,Chair Based,12:30,Column 10,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15029 start=10:30 end=11:30 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-01-11,Chair Based,12:30,Column 13,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15031 start=10:30 end=11:30 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-01-18,Chair Based,12:30,Column 15,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15032 start=10:30 end=11:30 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-01-25,Chair Based,12:30,Column 17,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15033 start=10:30 end=11:30 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-02-01,Chair Based,12:30,Column 20,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15035 start=10:30 end=11:30 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-02-08,Chair Based,12:30,Column 23,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15037 start=10:30 end=11:30 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-02-15,Chair Based,12:30,Column 26,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15039 start=10:30 end=11:30 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-02-22,Chair Based,12:30,Column 29,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15041 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-03-01,Chair Based,12:30,Column 32,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15043 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-03-08,Chair Based,12:30,Column 35,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15045 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-03-15,Chair Based,12:30,Column 38,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15047 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-03-22,Chair Based,12:30,Column 41,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15049 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-03-29,Chair Based,12:30,Column 44,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15051 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-04-05,Chair Based,12:30,Column 47,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15053 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-04-19,Chair Based,12:30,Column 50,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15055 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-04-26,Chair Based,12:30,Column 53,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15058 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-05-03,Chair Based,12:30,Column 57,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15060 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-05-10,Chair Based,12:30,Column 60,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15062 start=11:00 end=12:00 cancelled=0
REVIEW_SESSION_AMBIGUOUS,2023-05-17,Chair Based,12:30,Column 63,CRM has same date/activity at a different or ambiguous time; explicit source time is not auto-merged. Source start=12:30 end=13:30 time_quality=SOURCE_START_END_INFERRED; CRM candidates: SessionId=15064 start=11:00 end=12:00 cancelled=0
