Action,File,Sheet,Ref,Date,Venue,Detail
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R74,,Ward End Park,name=Natasha Logan; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R75,,Ward End Park,name=Saima Bibi; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R76,,Ward End Park,name=Aneesa Hussain; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R77,,Ward End Park,name=Salma Jan; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R78,,Ward End Park,name=Zahraa Rashid; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R79,,Ward End Park,name=Mushahida Sheikh; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R80,,Ward End Park,name=Amirah Sheikh; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R81,,Ward End Park,name=Nadiya Ali; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R82,,Ward End Park,name=Ikram Haghamed; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R83,,Ward End Park,name=Safraz Bibi; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R84,,Ward End Park,name=Anser Begum; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R85,,Ward End Park,name=Rashida Gandhi; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R86,,Ward End Park,name=Mariya Gandhi; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R87,,Ward End Park,name=Kiran Shabir; source has no date; not attached to an invented session
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2024.xlsx,Tennis,R88,,Ward End Park,name=Farhat Shaheen; source has no date; not attached to an invented session
SOURCE_2024_UNDATED_COUNT,Tennis Register 2024.xlsx,Tennis,,,,15 undated participant rows skipped
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Calthorpe,R26,2026-01-16,Calthorpe Wellbeing Hub,raw_date=16/01//2026; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Calthorpe,R39,2026-02-03,Calthorpe Wellbeing Hub,serial 2026-02-03 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-03
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Calthorpe,R40,2026-02-03,Calthorpe Wellbeing Hub,serial 2026-02-03 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-03
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Calthorpe,R42,2026-02-06,Calthorpe Wellbeing Hub,serial 2026-02-06 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-06
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Calthorpe,R44,2026-02-10,Calthorpe Wellbeing Hub,serial 2026-02-10 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-10
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Calthorpe,R45,2026-02-10,Calthorpe Wellbeing Hub,serial 2026-02-10 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-10
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Calthorpe,R46,2026-02-10,Calthorpe Wellbeing Hub,serial 2026-02-10 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-10
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Calthorpe,R47,2026-02-10,Calthorpe Wellbeing Hub,serial 2026-02-10 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-10
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Calthorpe,R48,2026-02-10,Calthorpe Wellbeing Hub,serial 2026-02-10 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-10
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Calthorpe,R49,2026-02-10,Calthorpe Wellbeing Hub,serial 2026-02-10 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-10
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Calthorpe,R50,2026-02-10,Calthorpe Wellbeing Hub,serial 2026-02-10 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-10
