Mode,Entity,SourceKey,Action,DatabaseId,Details
PREVIEW_ROLLED_BACK,PREFLIGHT,CARD:1815,PREFLIGHT_FULL_TO_CREATE,,Card '1815' is not in dbo.Participants and will be created inside the transaction.
PREVIEW_ROLLED_BACK,PREFLIGHT,CARD:3489,PREFLIGHT_FULL_TO_CREATE,,Card '3489' is not in dbo.Participants and will be created inside the transaction.
PREVIEW_ROLLED_BACK,PREFLIGHT,CARD:4529,PREFLIGHT_FULL_TO_CREATE,,Card '4529' is not in dbo.Participants and will be created inside the transaction.
PREVIEW_ROLLED_BACK,PREFLIGHT,CARD:763,PREFLIGHT_FULL_TO_CREATE,,Card '763' is not in dbo.Participants and will be created inside the transaction.
PREVIEW_ROLLED_BACK,PREFLIGHT,CARD:767,PREFLIGHT_FULL_TO_CREATE,,Card '767' is not in dbo.Participants and will be created inside the transaction.
PREVIEW_ROLLED_BACK,PREFLIGHT,CARD:815,PREFLIGHT_FULL_TO_CREATE,,Card '815' is not in dbo.Participants and will be created inside the transaction.
PREVIEW_ROLLED_BACK,PREFLIGHT,CARD:874,PREFLIGHT_FULL_TO_CREATE,,Card '874' is not in dbo.Participants and will be created inside the transaction.
PREVIEW_ROLLED_BACK,PREFLIGHT,CARD:961,PREFLIGHT_FULL_TO_CREATE,,Card '961' is not in dbo.Participants and will be created inside the transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|AEROBICS|2025-11-03|1000|1045,NEW_SESSION,3776,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|AEROBICS|2025-11-10|1000|1045,NEW_SESSION,3777,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|AEROBICS|2025-11-17|1000|1045,NEW_SESSION,3778,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|AEROBICS|2025-11-24|1000|1045,NEW_SESSION,3779,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|AEROBICS|2025-12-01|1000|1045,NEW_SESSION,3780,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-11-04|1130|1230,NEW_SESSION,3781,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-11-05|1215|1315,NEW_SESSION,3782,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-11-11|1130|1230,NEW_SESSION,3783,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-11-12|1215|1315,NEW_SESSION,3784,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-11-18|1130|1230,NEW_SESSION,3785,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-11-19|1215|1315,NEW_SESSION,3786,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-11-25|1130|1230,NEW_SESSION,3787,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-11-26|1215|1315,NEW_SESSION,3788,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-12-02|1130|1230,NEW_SESSION,3789,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-12-03|1215|1315,NEW_SESSION,3790,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2025-12-09|1130|1230,NEW_SESSION,3791,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-01-16|1300|1430,NEW_SESSION,3792,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-01-23|1300|1430,NEW_SESSION,3793,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-01-30|1300|1430,NEW_SESSION,3794,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-02-06|1300|1430,NEW_SESSION,3795,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-02-13|1300|1430,NEW_SESSION,3796,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-02-20|1230|1400,NEW_SESSION,3797,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-02-27|1230|1400,NEW_SESSION,3798,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-03-06|1230|1400,NEW_SESSION,3799,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-03-13|1230|1400,NEW_SESSION,3800,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-03-20|1230|1400,NEW_SESSION,3801,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-03-27|1230|1400,NEW_SESSION,3802,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-04-03|1230|1400,NEW_SESSION,3803,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-04-10|1230|1400,NEW_SESSION,3804,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-04-17|1230|1400,NEW_SESSION,3805,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-04-24|1230|1400,NEW_SESSION,3806,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-05-01|1230|1400,NEW_SESSION,3807,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-05-08|1230|1400,NEW_SESSION,3808,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-05-15|1230|1400,NEW_SESSION,3809,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|ARTS|2026-05-22|1230|1400,NEW_SESSION,3810,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2025-11-07|1145|1230,NEW_SESSION,3811,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2025-11-14|1145|1230,NEW_SESSION,3812,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2025-11-21|1145|1230,NEW_SESSION,3813,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2025-11-28|1145|1230,NEW_SESSION,3814,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2025-12-05|1145|1230,NEW_SESSION,3815,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2025-12-12|1145|1230,NEW_SESSION,3816,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2025-12-19|1145|1230,NEW_SESSION,3817,Inserted inside the current SQL transaction.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2026-01-16|1100|1145,EXISTING_SESSION,153,Matched 1 CRM session(s). Selected SessionId 153; existing attendance=14.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2026-01-23|1100|1145,EXISTING_SESSION,168,Matched 1 CRM session(s). Selected SessionId 168; existing attendance=16.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2026-01-30|1100|1145,EXISTING_SESSION,184,Matched 1 CRM session(s). Selected SessionId 184; existing attendance=15.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2026-02-06|1100|1145,EXISTING_SESSION,201,Matched 1 CRM session(s). Selected SessionId 201; existing attendance=10.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2026-02-13|1100|1145,EXISTING_SESSION,217,Matched 1 CRM session(s). Selected SessionId 217; existing attendance=15.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2026-02-20|1100|1145,EXISTING_SESSION,232,Matched 1 CRM session(s). Selected SessionId 232; existing attendance=8.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2026-02-27|1100|1145,EXISTING_SESSION,247,Matched 1 CRM session(s). Selected SessionId 247; existing attendance=11.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2026-03-06|1100|1145,EXISTING_SESSION,260,Matched 1 CRM session(s). Selected SessionId 260; existing attendance=0.
PREVIEW_ROLLED_BACK,SESSION,CALTHORPE|BODY CONDITIONING|2026-03-13|1100|1145,EXISTING_SESSION,273,Matched 1 CRM session(s). Selected SessionId 273; existing attendance=13.
